GeneID	Symbol	LogFoldChange	P-Value
3107	HLA-C	0,2944	0,00016
3108	HLA-DMA	0,4554	0,00045
3109	HLA-DMB	0,0979	0,11
3110	MNX1	0,0121	0,77
3111	HLA-DOA	-0,0135	0,41
3112	HLA-DOB	0	1
3113	HLA-DPA1	0,281	0,022
3114	HLA-DPA2	-0,049	0,14
3115	HLA-DPB1	0,4786	0,00025
3116	HLA-DPB2	-0,0919	0,042
3117	HLA-DQA1	0,123	0,032
3119	HLA-DQB1	0,1395	0,00051
3120	HLA-DQB2	0,2905	0,0074
3122	HLA-DRA	0,4319	0,011
3123	HLA-DRB1	0,4335	0,0037
3126	HLA-DRB4	0,1265	0,00011
3127	HLA-DRB5	0,3706	0,00093
3128	HLA-DRB6	0,0782	0,00057
3131	HLF	-0,7488	0,00000000038
3133	HLA-E	0,3308	0,0000092
3134	HLA-F	0,1095	0,04
3135	HLA-G	0,1569	0,0026
3137	HLA-J	0,1929	0,00012
3140	MR1	0,0019	0,11
3141	HLCS	-0,036	0,0021
3142	HLX	0,1487	0,00025
3145	HMBS	0,0177	0,58
3146	HMGB1	0,1654	0,000083
3148	HMGB2	0,3201	0,000078
3149	HMGB3	0,1394	0,000024
3150	HMGN1	0,1976	0,000089
3151	HMGN2	0,0909	0,23
3155	HMGCL	0,168	0,000026
3156	HMGCR	-0,3758	0,0000071
3157	HMGCS1	-0,064	0,23
3158	HMGCS2	-0,022	0,63
3159	HMGA1	-0,1921	0,000000021
3161	HMMR	-0,0092	0,31
3162	HMOX1	0,2401	0,0011
3163	HMOX2	-0,2498	0,00000053
3164	NR4A1	0,0552	0,081
3166	HMX1	-0,0395	0,098
3167	HMX2	-0,0057	0,85
3169	FOXA1	0,0004	0,014
3170	FOXA2	-0,0342	0,072
3171	FOXA3	0,0112	0,72
3172	HNF4A	0,0121	0,058
3174	HNF4G	0,0143	0,0035
3175	ONECUT1	0,0183	0,69
3176	HNMT	0,1879	0,000014
3177	SLC29A2	0,0287	0,42
3178	HNRNPA1	0,0409	0,000023
3181	HNRNPA2B1	0,2191	0,0000056
3182	HNRPAB	0,1517	0,0000000000072
3183	HNRNPC	0,0867	0,00019
3184	HNRPD	0,0511	0,0023
3185	HNRPF	0,1508	0,042
3187	HNRPH1	0,0738	0,0055
3188	HNRPH2	-0,0211	0,46
3189	HNRPH3	0,2681	0,00012
3190	HNRPK	-0,1166	0,0032
3191	HNRNPL	-0,0673	0,045
3192	HNRNPU	-0,0189	0,000035
3195	TLX1	-0,0036	0,94
3196	TLX2	-0,0069	0,19
3198	HOXA1	-0,0626	0,000011
3199	HOXA2	-0,0277	0,000011
3200	HOXA3	-0,0269	0,000011
3201	HOXA4	-0,0337	0,13
3202	HOXA5	0,0238	0,59
3203	HOXA6	0,0207	0,7
3204	HOXA7	0,1142	0,000000072
3205	HOXA9	-0,0131	0,51
3206	HOXA10	0,0984	0,00047
3207	HOXA11	0,0308	0,02
3208	HPCA	-1,3654	0,00000000035
3209	HOXA13	0,0584	0,069
3211	HOXB1	-0,0231	0,69
3212	HOXB2	0,0388	0,4
3213	HOXB3	-0,0433	0,15
3214	HOXB4	-0,0692	0,0083
3215	HOXB5	0,0373	0,0061
3216	HOXB6	-0,0304	0,12
3217	HOXB7	0,0091	0,46
3218	HOXB8	-0,0359	0,026
3219	HOXB9	0,0275	0,019
3221	HOXC4	0,0671	0,023
3222	HOXC5	0,0612	0,023
3223	HOXC6	0,1503	0,0000035
3224	HOXC8	-0,0578	0,37
3225	HOXC9	-0,0049	0,87
3226	HOXC10	0,4106	0,000000049
3227	HOXC11	-0,0123	0,76
3229	HOXC13	0,0068	0,89
3231	HOXD1	0,0882	0,082
3232	HOXD3	-0,0144	0,26
3233	HOXD4	0,0838	0,098
3234	HOXD8	0,034	0,44
3235	HOXD9	0,0232	0,41
3236	HOXD10	0,0819	0,000000072
3237	HOXD11	-0,0145	0,65
3238	HOXD12	-0,014	0,59
3239	HOXD13	-0,005	0,42
3240	HP	0,1001	0,031
3241	HPCAL1	0,0553	0,41
3242	HPD	-0,0287	0,47
3248	HPGD	-0,0076	0,27
3249	HPN	0,0139	0,73
3250	HPR	0,1759	0,0012
3251	HPRT1	-1,0159	0,000000012
3257	HPS1	-0,0021	0,0043
3263	HPX	-0,0323	0,16
3265	HRAS	-0,5118	0,00000000029
3267	HRB	0,0217	0,027
3268	HRBL	-0,0022	0,047
3269	HRH1	0,0737	0,027
3270	HRC	0,0781	0,13
3272	HRES1	0,0565	0,13
3273	HRG	-0,0361	0,15
3274	HRH2	-0,076	0,12
3275	PRMT2	0,1628	0,00000032
3276	PRMT1	-0,2133	0,000086
3280	HES1	0,1567	0,0041
3281	HSBP1	0,1233	0,0034
3283	HSD3B1	-0,0402	0,21
3284	HSD3B2	0,0059	0,33
3290	HSD11B1	0,0429	0,58
3291	HSD11B2	-0,1072	0,045
3292	HSD17B1	0,1174	0,0015
3293	HSD17B3	0,1802	0,0026
3294	HSD17B2	-0,0519	0,15
3295	HSD17B4	0,2055	0,0057
3297	HSF1	0,0222	0,03
3298	HSF2	0,0461	0,12
3299	HSF4	-0,0508	0,33
3300	DNAJB2	0,4524	0,00000002
3301	DNAJA1	-0,0303	0,39
3303	HSPA1A	0,676	0,00057
3304	HSPA1B	0,8981	0,00038
3305	HSPA1L	0,0173	0,34
3308	HSPA4	0,074	0,015
3309	HSPA5	0,0474	0,036
3310	HSPA6	0,2006	0,034
3312	HSPA8	-0,2	0,011
3313	HSPA9	-0,016	0,16
3315	HSPB1	1,0283	0,0000057
3316	HSPB2	0,1801	0,000014
3320	HSP90AA1	0,0048	0,47
3321	IGSF3	-0,2566	0,0000059
3326	HSP90AB1	-0,1822	0,02
3329	HSPD1	0,0507	0,0038
3336	HSPE1	0,1347	0,18
3337	DNAJB1	0,4449	0,015
3338	DNAJC4	-0,0006	0,38
3339	HSPG2	0,0542	0,032
3340	NDST1	-0,0415	0,21
3344	FOXN2	0,2381	0,00045
3346	HTN1	-0,0103	0,69
3347	HTN3	-0,009	0,71
3350	HTR1A	-0,031	0,44
3351	HTR1B	-0,0172	0,74
3352	HTR1D	-0,163	0,0015
3354	HTR1E	-0,2415	0,0000076
3355	HTR1F	0,0296	0,64
3356	HTR2A	-0,1711	0,0023
3357	HTR2B	-0,0628	0,021
3358	HTR2C	-1,2499	0,000000015
3359	HTR3A	-0,0466	0,25
3360	HTR4	-0,1798	0,0000000012
3361	HTR5A	-0,1631	0,0026
3362	HTR6	-0,134	0,00059
3363	HTR7	-0,0198	0,24
3364	HUS1	0,0022	0,000078
3371	TNC	0,9047	0,00000088
3373	HYAL1	0,0759	0,11
3375	IAPP	0,018	0,65
3376	IARS	-0,2197	0,0000049
3381	IBSP	-0,0687	0,0011
3382	ICA1	-0,1097	0,00000067
3383	ICAM1	0,0513	0,014
3384	ICAM2	0,0909	0,1
3385	ICAM3	0,0348	0,44
3386	ICAM4	0,0909	0,0068
3394	IRF8	0,0904	0,12
3396	ICT1	0,0746	0,13
3397	ID1	0,2425	0,000016
3398	ID2	0,6179	0,000001
3399	ID3	0,9793	0,000000012
3400	ID4	0,4749	0,00000015
3416	IDE	0,0488	0,0052
3417	IDH1	0,0893	0,00056
3418	IDH2	0,0153	0,12
3419	IDH3A	-0,3091	0,000052
3420	IDH3B	-0,0709	0,037
3421	IDH3G	-0,2706	0,000074
3422	IDI1	-0,0106	0,076
3423	IDS	-0,4188	0,000000000076
3425	IDUA	0,0342	0,2
3426	CFI	0,2201	0,00062
3428	IFI16	0,2918	0,0002
3429	IFI27	0,2576	0,0038
3430	IFI35	0,3097	0,000024
3431	SP110	0,1881	0,0000027
3433	IFIT2	0,1431	0,0024
3434	IFIT1	-0,0247	0,71
3437	IFIT3	0,0843	0,071
3439	IFNA1	0,0118	0,65
3440	IFNA2	0,0254	0,32
3441	IFNA4	-0,0409	0,23
3442	IFNA5	-0,0354	0,35
3443	IFNA6	-0,0078	0,71
3444	IFNA7	-0,019	0,61
3445	IFNA8	0,0233	0,16
3446	IFNA10	0,0359	0,23
3447	IFNA13	-0,0656	0,13
3448	IFNA14	-0,0152	0,74
3449	IFNA16	-0,0123	0,76
3451	IFNA17	-0,0031	0,94
3452	IFNA21	-0,0446	0,42
3454	IFNAR1	0,0548	0,0072
3455	IFNAR2	0,059	0,018
3456	IFNB1	-0,014	0,76
3458	IFNG	-0,0503	0,15
3459	IFNGR1	0,359	0,000000084
3460	IFNGR2	-0,2078	0,00000089
3467	IFNW1	0,0015	0,96
3475	IFRD1	0,4547	0,00000018
3476	IGBP1	-0,0993	0,0098
3479	IGF1	-0,0066	0,66
3480	IGF1R	0,176	0,000032
3481	IGF2	-0,0137	0,43
3482	IGF2R	0,3448	0,0000000023
3484	IGFBP1	-0,0158	0,025
3485	IGFBP2	0,1502	0,067
3486	IGFBP3	0,2372	0,0004
3487	IGFBP4	0,153	0,064
3488	IGFBP5	0,0956	0,00058
3489	IGFBP6	0,041	0,38
3490	IGFBP7	0,2605	0,00092
3491	CYR61	0,7081	0,00049
3493	IGHA1	0,0026	0,2
3494	IGHA2	0,0026	0,2
3502	IGHG3	0,1646	0,017
3507	IGHM	0,0171	0,42
3508	IGHMBP2	-0,0189	0,2
3516	RBPJ	0,3578	0,00000000025
3526	IGKV1OR15-118	0,0428	0,35
3535	IGL@	0,0163	0,24
3543	IGLL1	0,0195	0,63
3544	IGLL2	0,018	0,61
3547	IGSF1	0,2912	0,0000011
3549	IHH	-0,0181	0,29
3550	IK	0,1205	0,0037
3551	IKBKB	0,1644	0,0000001
3552	IL1A	0,0449	0,0022
3553	IL1B	0,0321	0,4
3554	IL1R1	0,1125	0,022
3556	IL1RAP	-0,0042	0,71
3557	IL1RN	-0,0146	0,22
3558	IL2	0,0115	0,52
3559	IL2RA	0,029	0,16
3560	IL2RB	-0,0032	0,46
3561	IL2RG	0,0311	0,49
3562	IL3	-0,027	0,52
3563	IL3RA	0,0416	0,38
3565	IL4	0,0147	0,25
3566	IL4R	0,0852	0,0019
3567	IL5	0,0151	0,56
3568	IL5RA	0,0079	0,11
3569	IL6	0,0548	0,29
3570	IL6R	0,1187	0,0000074
3572	IL6ST	0,1432	0,0000037
3574	IL7	0,0287	0,11
3575	IL7R	0,0106	0,22
3576	IL8	0,0536	0,18
3577	IL8RA	0,0228	0,56
3578	IL9	-0,0136	0,66
3579	IL8RB	-0,0279	0,36
3581	IL9R	0,0526	0,0005
3586	IL10	-0,0111	0,67
3587	IL10RA	0,136	0,0049
3588	IL10RB	0,1271	0,0037
3589	IL11	-0,0269	0,1
3590	IL11RA	0,0809	0,08
3592	IL12A	0,0226	0,54
3593	IL12B	0,0072	0,71
3594	IL12RB1	0,0111	0,73
3595	IL12RB2	-0,0075	0,78
3596	IL13	-0,0781	0,12
3597	IL13RA1	0,2323	0,0000013
3598	IL13RA2	-0,2627	0,012
3600	IL15	0,1244	0,00032
3601	IL15RA	0,1004	0,0086
3603	IL16	0,0174	0,19
3604	TNFRSF9	-0,0053	0,2
3605	IL17A	-0,04	0,054
3606	IL18	0,0552	0,051
3607	FOXK2	-0,0417	0,0084
3608	ILF2	-0,0662	0,35
3609	ILF3	0,0667	0,039
3611	ILK	0,0461	0,00002
3612	IMPA1	0,1687	0,084
3613	IMPA2	0,1578	0,0029
3614	IMPDH1	-0,1812	0,00036
3615	IMPDH2	0,1161	0,029
3617	IMPG1	-0,3061	0,00000013
3619	INCENP	0,0368	0,3
3620	INDO	0,0234	0,62
3621	ING1	0,0193	0,034
3622	ING2	-0,0393	0,1
3623	INHA	-0,1866	0,00046
3624	INHBA	-0,2022	0,0000024
3625	INHBB	0,5412	0,000000011
3626	INHBC	0,0403	0,0071
3627	CXCL10	0,1176	0,22
3628	INPP1	0,2277	0,0031
3630	INS	-0,1012	0,048
3631	INPP4A	-0,3153	0,0000000006
3632	INPP5A	-1,1358	0,000000000017
3633	INPP5B	0,0524	0,06
3635	INPP5D	0,1147	0,0066
3636	INPPL1	0,3096	0,0000000062
3638	INSIG1	0,1207	0,01
3640	INSL3	0,0072	0,34
3641	INSL4	0,007	0,82
3642	INSM1	-0,3385	0,00000013
3643	INSR	0,0573	0,00059
3645	INSRR	-0,0128	0,71
3646	EIF3E	-0,1003	0,052
3651	PDX1	-0,0188	0,12
3652	IPP	0,2404	0,000041
3653	IPW	-0,0411	0,29
3654	IRAK1	0,3604	0,000012
3655	ITGA6	0,2426	0,000000025
3656	IRAK2	0,1136	0,0015
3658	IREB2	0,0398	0,62
3659	IRF1	0,1696	0,02
3660	IRF2	0,3914	0,00000000067
3661	IRF3	0,254	0,00000001
3662	IRF4	0,0031	0,4
3663	IRF5	0,0573	0,022
3667	IRS1	-0,0788	0,056
3669	ISG20	0,1384	0,0084
3670	ISL1	-0,087	0,098
3671	ISLR	0,1309	0,0019
3672	ITGA1	0,1104	0,0036
3673	ITGA2	0,2169	0,0011
3674	ITGA2B	0,0013	0,19
3675	ITGA3	-0,0368	0,42
3676	ITGA4	0,004	0,022
3678	ITGA5	0,0348	0,48
3679	ITGA7	0,3703	0,0000000082
3680	ITGA9	0,0059	0,25
3682	ITGAE	-0,3559	0,00000045
3684	ITGAM	0,056	0,32
3685	ITGAV	0,0125	0,89
3687	ITGAX	-0,0428	0,39
3688	ITGB1	-0,0001	0,15
3689	ITGB2	0,1204	0,022
3690	ITGB3	0,0025	0,48
3691	ITGB4	0,419	0,00000000063
3692	EIF6	0,0093	0,8
3693	ITGB5	0,1948	0,0000000027
3694	ITGB6	-0,0019	0,29
3695	ITGB7	-0,0281	0,55
3696	ITGB8	0,3787	0,000000021
3697	ITIH1	0,0341	0,17
3698	ITIH2	-0,0845	0,19
3699	ITIH3	0,0126	0,75
3700	ITIH4	-0,0601	0,021
3702	ITK	-0,046	0,07
3703	STT3A	0,0318	0,26
3704	ITPA	-0,031	0,00077
3705	ITPK1	0,0759	0,0000071
3706	ITPKA	-0,8821	0,00000000037
3707	ITPKB	0,5261	0,00000000000042
3708	ITPR1	-0,803	0,00000000015
3709	ITPR2	0,2286	0,00000013
3710	ITPR3	0,0634	0,0054
3712	IVD	0,0017	0,096
3713	IVL	-0,0357	0,52
3714	JAG2	-0,0253	0,53
3716	JAK1	0,2209	0,00014
3717	JAK2	-0,0454	0,014
3718	JAK3	0,0174	0,068
3720	JARID2	0,2265	0,0000013
3725	JUN	0,3542	0,0005
3726	JUNB	0,1835	0,13
3727	JUND	-0,0224	0,038
3728	JUP	0,3294	0,000000064
3730	KAL1	0,1067	0,037
3732	CD82	0,0754	0,094
3735	KARS	-0,0387	0,034
3736	KCNA1	-0,6531	0,000000000011
3737	KCNA2	-0,2766	0,0000034
3738	KCNA3	-0,0472	0,24
3739	KCNA4	-0,3882	0,0000000047
3741	KCNA5	-0,0443	0,41
3743	KCNA7	0,008	0,77
3744	KCNA10	-0,0102	0,79
3745	KCNB1	-0,6004	0,0000002
3746	KCNC1	-0,2437	0,0004
3747	KCNC2	-0,0548	0,099
3748	KCNC3	-0,0868	0,0012
3749	KCNC4	0,0024	0,18
3750	KCND1	0,1888	0,00003
3751	KCND2	-0,7646	0,000000000089
3752	KCND3	-0,0244	0,17
3753	KCNE1	0,0136	0,22
3754	KCNF1	-0,5551	0,000000000073
3755	KCNG1	0,0026	0,25
3756	KCNH1	-0,0118	0,74
3757	KCNH2	-0,2931	0,000000000019
3758	KCNJ1	-0,1039	0,0053
3759	KCNJ2	0,0916	0,24
3760	KCNJ3	0,0319	0,11
3761	KCNJ4	-0,4031	0,0000000017
3762	KCNJ5	-0,0063	0,096
3763	KCNJ6	0,0042	0,91
3764	KCNJ8	0,1734	0,0000037
3765	KCNJ9	-0,1232	0,023
3766	KCNJ10	0,0729	0,00028
3767	KCNJ11	-0,1309	0,0092
3768	KCNJ12	-0,0758	0,0012
3769	KCNJ13	0,0211	0,69
3770	KCNJ14	0,0525	0,16
3772	KCNJ15	0,0322	0,27
3773	KCNJ16	0,1643	0,021
3775	KCNK1	-0,6515	0,0000000061
3776	KCNK2	-0,3885	0,00000000018
3777	KCNK3	-0,167	0,0067
3778	KCNMA1	-0,2976	0,000000083
3779	KCNMB1	0,0329	0,59
3780	KCNN1	-0,2285	0,000000088
3781	KCNN2	0,4042	0,000065
3782	KCNN3	0,2966	0,00017
3783	KCNN4	-0,0862	0,047
3784	KCNQ1	0,0324	0,084
3785	KCNQ2	-0,433	0,000000005
3786	KCNQ3	-0,1611	0,0078
3787	KCNS1	-0,075	0,14
3788	KCNS2	-0,2902	0,000000095
3790	KCNS3	0,0839	0,047
3791	KDR	0,0788	0,047
3792	KEL	-0,0123	0,74
3795	KHK	-0,0234	0,037
3796	KIF2A	0,1247	0,000000079
3797	KIF3C	-0,5817	0,00000000042
3798	KIF5A	-0,3885	0,0000000018
3799	KIF5B	0,2167	0,000001
3800	KIF5C	-0,3599	0,00000039
3801	KIFC3	-0,0588	0,16
3802	KIR2DL1	0,0054	0,53
3803	KIR2DL2	-0,0002	1
3804	KIR2DL3	-0,0007	0,79
3805	KIR2DL4	0,0207	0,37
3806	KIR2DS1	0,0159	0,53
3807	KIR2DS2	-0,0281	0,54
3808	KIR2DS3	0,0208	0,71
3810	KIR2DS5	-0,0689	0,19
3811	KIR3DL1	0,0103	0,79
3812	KIR3DL2	-0,0216	0,36
3813	KIR3DS1	0,0129	0,53
3814	KISS1	0,0006	0,99
3815	KIT	-0,021	0,82
3816	KLK1	-0,0938	0,053
3817	KLK2	-0,0118	0,11
3818	KLKB1	0,1368	0,037
3820	KLRB1	0,0288	0,2
3822	KLRC2	0,0608	0,33
3823	KLRC3	0,0013	0,98
3824	KLRD1	-0,0031	0,82
3827	KNG1	-0,0277	0,018
3831	KLC1	-0,0253	0,00000000000017
3832	KIF11	-0,0339	0,17
3833	KIFC1	-0,0025	0,0024
3834	KIF25	0,0316	0,069
3835	KIF22	-0,0657	0,012
3836	KPNA1	-0,0583	0,0041
3837	KPNB1	0,1364	0,00003
3838	KPNA2	-0,0352	0,047
3839	KPNA3	-0,0243	0,27
3840	KPNA4	-0,1536	0,0036
3841	KPNA5	0,0177	0,09
3842	TNPO1	0,2767	0,0000000082
3843	RANBP5	0,0615	0,0056
3845	KRAS	0,0658	0,00059
3846	KRTAP5-9	-0,0339	0,38
3848	KRT1	-0,0276	0,53
3849	KRT2	0,0792	0,1
3850	KRT3	0,0126	0,75
3851	KRT4	-0,0554	0,18
3852	KRT5	-0,0183	0,035
3853	KRT6A	-0,038	0,035
3854	KRT6B	-0,0311	0,035
3855	KRT7	0,0149	0,32
3856	KRT8	0,1669	0,000024
3857	KRT9	-0,0045	0,92
3858	KRT10	-0,075	0,037
3859	KRT12	-0,0442	0,36
3860	KRT13	0,0045	0,88
3861	KRT14	-0,0318	0,38
3866	KRT15	0,0408	0,15
3868	KRT16	0,0596	0,23
3872	KRT17	0,0145	0,3
3875	KRT18	0,0907	0,038
3879	KRT18P1	-0,0348	0,32
3880	KRT19	0,0109	0,37
3881	KRT31	-0,0207	0,49
3882	KRT32	0,0234	0,49
3883	KRT33A	0,035	0,24
3884	KRT33B	-0,0099	0,79
3885	KRT34	0,0606	0,18
3886	KRT35	-0,0221	0,53
3887	KRT81	-0,0242	0,64
3888	KRT82	-0,0024	0,95
3889	KRT83	-0,0584	0,19
3890	KRT84	0,0613	0,074
3891	KRT85	0,0122	0,69
3892	KRT86	0,0058	0,87
3895	KTN1	0,3426	0,000017
3897	L1CAM	-0,4913	0,0000000013
3898	LAD1	0,0081	0,79
3899	AFF3	-0,27	0,00000000017
3902	LAG3	0,0209	0,61
3903	LAIR1	0,1405	0,045
3904	LAIR2	-0,0171	0,74
3906	LALBA	0,0407	0,31
3908	LAMA2	0,1487	0,00000000011
3909	LAMA3	0,0475	0,0072
3910	LAMA4	0,0865	0,000002
3911	LAMA5	0,0674	0,0000037
3912	LAMB1	-0,1786	0,0000035
3913	LAMB2	0,4236	0,000000033
3914	LAMB3	-0,0638	0,079
3915	LAMC1	0,1229	0,0012
3916	LAMP1	0,2789	0,000000000054
3918	LAMC2	-0,0564	0,012
3920	LAMP2	0,398	0,00000063
3921	RPSA	-0,0846	0,056
3925	STMN1	0,1385	0,0011
3927	LASP1	0,1205	0,0068
3929	LBP	0,0266	0,42
3930	LBR	0,4525	0,00000005
3931	LCAT	0,2292	0,0000000033
3932	LCK	0,0296	0,16
3933	LCN1	-0,0666	0,18
3934	LCN2	-0,0433	0,47
3936	LCP1	0,0626	0,18
3937	LCP2	0,036	0,029
3938	LCT	0,0207	0,64
3939	LDHA	-0,4922	0,0000064
3945	LDHB	-0,0569	0,3
3948	LDHC	-0,1401	0,0014
3949	LDLR	0,1211	0,0000011
3950	LECT2	0,0283	0,45
3952	LEP	0,0235	0,44
3953	LEPR	0,0038	0,0038
3954	LETM1	0,0324	0,33
3955	LFNG	0,0998	0,0000076
3956	LGALS1	0,6811	0,0000000011
3957	LGALS2	-0,0948	0,13
3958	LGALS3	0,6099	0,0000001
3959	LGALS3BP	0,3546	0,000028
3960	LGALS4	-0,005	0,92
3963	LGALS7	-0,0302	0,46
3964	LGALS8	-0,1901	0,000000000043
3965	LGALS9	0,1406	0,0081
3972	LHB	0,0306	0,61
3973	LHCGR	-0,0128	0,54
3975	LHX1	-0,0435	0,34
3976	LIF	0,0187	0,68
3977	LIFR	0,646	0,00000000007
3978	LIG1	0,0972	0,0064
3980	LIG3	-0,0005	0,18
3981	LIG4	-0,2019	0,00000000039
3982	LIM2	-0,048	0,22
3983	ABLIM1	0,2255	0,0000086
3984	LIMK1	-0,0664	0,013
3985	LIMK2	0,3317	0,0000048
3987	LIMS1	0,1786	0,00012
3988	LIPA	0,0453	0,47
3990	LIPC	-0,0043	0,92
3991	LIPE	-0,0628	0,013
3992	FADS1	0,1919	0,000000026
3993	LLGL2	0,1284	0,00076
3995	FADS3	0,1425	0,0042
3996	LLGL1	0,1252	0,0000000014
3998	LMAN1	-0,0415	0,073
4000	LMNA	0,1304	0,00017
4001	LMNB1	0,0157	0,69
4004	LMO1	0,0119	0,77
4005	LMO2	0,1957	0,055
4007	PRICKLE3	-0,2087	0,000000049
4008	LMO7	-0,3645	0,000000000001
4010	LMX1B	0,0166	0,74
4012	LNPEP	0,0969	0,00024
4013	LOH11CR2A	0,0047	0,29
4014	LOR	-0,0027	0,95
4015	LOX	0,0478	0,041
4016	LOXL1	0,2433	0,0000082
4017	LOXL2	-0,0017	0,34
4018	LPA	-0,0247	0,33
4023	LPL	-1,5532	0,0000000000025
4025	LPO	-0,058	0,2
4026	LPP	0,2197	0,0000000017
4033	LRMP	0,0139	0,083
4034	LRCH4	0,041	0,00015
4035	LRP1	-0,0376	0,28
4036	LRP2	0,2569	0,0004
4037	LRP3	-0,4283	0,00000026
4038	LRP4	0,584	0,000000068
4040	LRP6	0,1725	0,000018
4041	LRP5	0,0191	0,29
4043	LRPAP1	-0,774	0,00000000000044
4045	LSAMP	0,0193	0,63
4046	LSP1	0,0033	0,94
4047	LSS	0,0638	0,0000074
4048	LTA4H	-0,0039	0,93
4049	LTA	-0,0577	0,18
4050	LTB	-0,0191	0,73
4051	CYP4F3	0,3241	0,00051
4052	LTBP1	0,3916	0,0000000062
4053	LTBP2	0,0517	0,11
4054	LTBP3	0,2672	0,000000004
4055	LTBR	0,0266	0,43
4057	LTF	0,8677	0,00026
4058	LTK	-0,1084	0,017
4059	BCAM	0,0785	0,012
4060	LUM	0,0169	0,46
4061	LY6E	-0,432	0,0000000021
4062	LY6H	-0,3884	0,0034
4063	LY9	-0,0112	0,098
4064	CD180	0,0627	0,1
4065	LY75	0,0424	0,19
4066	LYL1	0,0898	0,071
4067	LYN	0,2824	0,000065
4068	SH2D1A	-0,0285	0,00006
4070	TACSTD2	0,0007	0,37
4071	TM4SF1	0,086	0,11
4072	TACSTD1	-0,5043	0,0000000024
4074	M6PR	-0,1169	0,0091
4076	CAPRIN1	-0,1583	0,00000028
4077	NBR1	0,0321	0,011
4081	MAB21L1	0,0179	0,58
4082	MARCKS	0,168	0,0000084
4084	MXD1	0,0493	0,16
4085	MAD2L1	-0,2087	0,00002
4086	SMAD1	0,2829	0,0000019
4087	SMAD2	0,1409	0,000000074
4088	SMAD3	-0,1441	0,0000022
4089	SMAD4	0,0572	0,077
4090	SMAD5	0,3436	0,0000000014
4091	SMAD6	-0,0038	0,044
4092	SMAD7	0,0554	0,37
4093	SMAD9	0,0932	0,011
4094	MAF	0,0482	0,000043
4097	MAFG	0,0185	0,35
4099	MAG	0,0246	0,77
4100	MAGEA1	0,1009	0,00012
4101	MAGEA2	0,0237	0,11
4102	MAGEA3	-0,0167	0,68
4103	MAGEA4	0,0202	0,36
4104	MAGEA5	0,0309	0,26
4105	MAGEA6	-0,0048	0,85
4107	MAGEA8	-0,0313	0,38
4108	MAGEA9	0,0298	0,33
4109	MAGEA10	-0,0009	0,98
4110	MAGEA11	-0,0186	0,43
4111	MAGEA12	-0,019	0,54
4112	MAGEB1	0,0281	0,2
4113	MAGEB2	-0,014	0,63
4114	MAGEB3	-0,0171	0,33
4115	MAGEB4	-0,0113	0,61
4116	MAGOH	0,0572	0,13
4117	MAK	0,3101	0,00082
4118	MAL	0,2581	0,015
4121	MAN1A1	-0,5955	0,000000027
4122	MAN2A2	0,0313	0,0086
4123	MAN2C1	0,0519	0,11
4124	MAN2A1	0,4366	0,000064
4125	MAN2B1	0,2385	0,0000026
4126	MANBA	0,1023	0,0012
4128	MAOA	0,0884	0,024
4129	MAOB	0,5505	0,0000039
4130	MAP1A	-0,1878	0,0000000051
4131	MAP1B	-0,0841	0,0015
4133	MAP2	-0,6267	0,00000000019
4134	MAP4	0,1768	0,000000000015
4135	MAP6	-0,0412	0,0000011
4137	MAPT	0,0135	0,15
4139	MARK1	-0,1237	0,0000056
4140	MARK3	0,1244	0,000088
4141	MARS	-0,0629	0,00019
4142	MAS1	-0,0032	0,95
4143	MAT1A	0,043	0,31
4144	MAT2A	0,2063	0,00000000028
4145	MATK	-0,3399	0,00000000069
4146	MATN1	0,0109	0,73
4147	MATN2	0,6527	0,000058
4148	MATN3	0,0385	0,031
4149	MAX	0,0884	0,0000000032
4150	MAZ	-0,0636	0,0014
4151	MB	-0,047	0,35
4152	MBD1	-0,049	0,0023
4153	MBL2	-0,0042	0,87
4154	MBNL1	0,0188	0,034
4155	MBP	0,1763	0,000031
4157	MC1R	-0,0383	0,45
4158	MC2R	-0,0328	0,17
4159	MC3R	0,0024	0,93
4160	MC4R	-0,0975	0,063
4161	MC5R	-0,0422	0,32
4162	MCAM	0,024	0,18
4163	MCC	-0,0122	0,79
4166	CHST6	0,622	0,000000000052
4168	MCF2	-0,1349	0,000000052
4170	MCL1	0,1284	0,0000026
4171	MCM2	0,1196	0,0095
4172	MCM3	0,0103	0,026
4173	MCM4	-0,113	0,00041
4174	MCM5	0,2481	0,0000089
4175	MCM6	0,1409	0,012
4176	MCM7	0,3527	0,000000066
4179	CD46	0,0644	0,029
4184	SMCP	-0,0017	0,97
4185	ADAM11	-0,1146	0,0095
4188	MDFI	0,0861	0,000098
4189	DNAJB9	-0,1331	0,11
4190	MDH1	-0,5937	0,0000000013
4191	MDH2	-0,3688	0,00000046
4192	MDK	0,0631	0,1
4193	MDM2	-0,0126	0,12
4194	MDM4	0,1488	0,0000012
4197	MDS1	0,0295	0,0097
4199	ME1	-0,0625	0,037
4200	ME2	-0,1488	0,00047
4201	MEA1	-0,1357	0,0016
4204	MECP2	-0,0663	0,00037
4205	MEF2A	-0,0529	0,014
4207	MEF2B	-0,0841	0,0011
4208	MEF2C	-0,0736	0,28
4209	MEF2D	-0,1351	0,0000075
4210	MEFV	-0,0505	0,2
4211	MEIS1	0,0666	0,041
4213	MEIS3P1	0,2161	0,0011
4214	MAP3K1	0,2351	0,000013
